place_id,name,link,main_category,categories,rating,reviews,address
ChIJZ-bNQ1ert5UR7KhvRQ8yczY,VQV (Verde que te quiero verde) - Mercado del Patio,https://www.google.com/maps/place/VQV+%28Verde+que+te+quiero+verde%29+-+Mercado+del+Patio/data=!4m7!3m6!1s0x95b7ab5743cde667:0x3673320f456fa8ec!8m2!3d-32.9405333!4d-60.6705215!16s%2Fg%2F11gbwxd79d!19sChIJZ-bNQ1ert5UR7KhvRQ8yczY?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,Restaurante vegetariano,4.1,1820,"VQV (Verde que te quiero verde) - Mercado del Patio, Cafferata 729, S2002 Rosario, Santa Fe"
ChIJ43Y3ZDurt5URAOhmM97IVSE,Vrinda,https://www.google.com/maps/place/Vrinda/data=!4m7!3m6!1s0x95b7ab3b643776e3:0x2155c8de3366e800!8m2!3d-32.9383286!4d-60.6421383!16s%2Fg%2F11c6d863g2!19sChIJ43Y3ZDurt5URAOhmM97IVSE?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,Restaurante vegetariano,4.3,1756,"Vrinda, Salta 1506, S2000AIJ Rosario, Santa Fe"
ChIJgUhrIBurt5UREwl8wkwReYg,Casa de Nicolas,https://www.google.com/maps/place/Casa+de+Nicol%C3%A1s/data=!4m7!3m6!1s0x95b7ab1b206b4881:0x8879114cc27c0913!8m2!3d-32.9520278!4d-60.6369935!16s%2Fg%2F1q628q076!19sChIJgUhrIBurt5UREwl8wkwReYg?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,"Restaurante vegetariano, Restaurante vegano",4.5,852,"Casa de Nicolas, BHS, Mendoza 937, S2000 Rosario, Santa Fe"
ChIJ33w7KT2rt5URIIiIz_1R7Y4,Hevale Cocina Vegana y Vegetariana (Ahora Sattva es Hevale),https://www.google.com/maps/place/Heval%C3%AA+Cocina+Vegana+y+Vegetariana+%28Ahora+Sattva+es+Heval%C3%AA%29/data=!4m7!3m6!1s0x95b7ab3d293b7cdf:0x8eed51fdcf888820!8m2!3d-32.951154!4d-60.6321974!16s%2Fg%2F11cn8tfdlw!19sChIJ33w7KT2rt5URIIiIz_1R7Y4?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,"Restaurante vegetariano, Comida a domicilio, Restaurante vegano",4.4,511,"Hevale Cocina Vegana y Vegetariana (Ahora Sattva es Hevale), Juan Manuel de Rosas 1062, S2000 Rosario, Santa Fe"
ChIJ3yCvb0Srt5URFvS5mlD4K2g,Restaurant La Huerta,https://www.google.com/maps/place/Restaurant+La+Huerta/data=!4m7!3m6!1s0x95b7ab446faf20df:0x682bf8509ab9f416!8m2!3d-32.9425162!4d-60.6593454!16s%2Fg%2F11c0vfq55f!19sChIJ3yCvb0Srt5URFvS5mlD4K2g?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,"Restaurante vegetariano, Restaurante",4.6,94,"Restaurant La Huerta, Cordoba 2650, S2000 Rosario, Santa Fe"
ChIJmeXVhxqrt5UROsj-zz4hf3s,Rotiseria Vegetariana Angel Tian Shi Su Shi Zi Zhu Can ,https://www.google.com/maps/place/Rotiseria+Vegetariana+%C3%81ngel+%E5%A4%A9%E4%BD%BF%E7%B4%A0%E9%A3%9F%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x95b7ab1a87d5e599:0x7b7f213ecffec83a!8m2!3d-32.9511609!4d-60.6394865!16s%2Fg%2F11b6vj3dv2!19sChIJmeXVhxqrt5UROsj-zz4hf3s?authuser=0&hl=es-419&rclk=1,Restaurante de comida para llevar,"Restaurante de comida para llevar, Restaurante vegetariano",4.3,50,"Rotiseria Vegetariana Angel Tian Shi Su Shi Zi Zhu Can , Sarmiento 1182, S2000CMT Rosario, Santa Fe"
ChIJIw9xGf6rt5URmse3oduTSAI,Resetee Vegane | Comida a domicilio,https://www.google.com/maps/place/Resetee+Vegane+%7C+Comida+a+domicilio/data=!4m7!3m6!1s0x95b7abfe19710f23:0x24893dba1b7c79a!8m2!3d-32.9483616!4d-60.6328582!16s%2Fg%2F11k6t_q2ns!19sChIJIw9xGf6rt5URmse3oduTSAI?authuser=0&hl=es-419&rclk=1,Restaurante vegano,Restaurante vegano,,,"Resetee Vegane | Comida a domicilio, CEC, Buenos Aires 863, S2000 Rosario, Santa Fe"
ChIJPWD2aklTtpURt7ZGlfkyWM8,Kali vegan,https://www.google.com/maps/place/Kali+vegan/data=!4m7!3m6!1s0x95b653496af6603d:0xcf5832f99546b6b7!8m2!3d-32.9314383!4d-60.6598074!16s%2Fg%2F11slhb1d_0!19sChIJPWD2aklTtpURt7ZGlfkyWM8?authuser=0&hl=es-419&rclk=1,Restaurante vegano,Restaurante vegano,4.6,87,"Kali vegan, Guemes 2874, S2000 Rosario, Santa Fe"
ChIJ1cgOZK-st5URZKVcwq2dFgQ,Bio Natural,https://www.google.com/maps/place/Bio+Natural/data=!4m7!3m6!1s0x95b7acaf640ec8d5:0x4169dadc25ca564!8m2!3d-32.9437429!4d-60.6825562!16s%2Fg%2F11c23zv2dg!19sChIJ1cgOZK-st5URZKVcwq2dFgQ?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,Restaurante vegetariano,4.5,17,"Bio Natural, S2002PCV, Mendoza 4256, S2002PCV Rosario, Santa Fe"
ChIJn4DFo4art5URr_gj0gFxqoU,Comida Veg FAV,https://www.google.com/maps/place/Comida+Veg+FAV/data=!4m7!3m6!1s0x95b7ab86a3c5809f:0x85aa7101d223f8af!8m2!3d-32.9469817!4d-60.6410664!16s%2Fg%2F11hf2c7jg6!19sChIJn4DFo4art5URr_gj0gFxqoU?authuser=0&hl=es-419&rclk=1,Restaurante vegetariano,Restaurante vegetariano,3,1,"Comida Veg FAV, Entre Rios 899-801, S2000CRO Rosario, Santa Fe"
