place_id,name,link,main_category,categories,rating,reviews,address
ChIJ026azU2rt5UROQY9qTcu56g,Jimmy,https://www.google.com/maps/place/Jimmy/data=!4m7!3m6!1s0x95b7ab4dcd9a6ed3:0xa8e72e37a93d0639!8m2!3d-32.9328753!4d-60.6603681!16s%2Fg%2F1thkyfqf!19sChIJ026azU2rt5UROQY9qTcu56g?authuser=0&hl=es-419&rclk=1,Restaurante,"Restaurante, Bar, Cafeteria",4.2,2162,"Jimmy, Pichincha 1, S2000 Rosario, Santa Fe"
ChIJ59TGgo2rt5URi9ihhU5FtLs,Chamuyo Comedor,https://www.google.com/maps/place/Chamuyo+Comedor/data=!4m7!3m6!1s0x95b7ab8d82c6d4e7:0xbbb4454e85a1d88b!8m2!3d-32.9354065!4d-60.6584142!16s%2Fg%2F11l59xcc5l!19sChIJ59TGgo2rt5URi9ihhU5FtLs?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.7,99,"Chamuyo Comedor, Callao 192, S2000 Rosario, Santa Fe"
ChIJgVcQMTert5URdeWz2nF7zNY,Riomio,https://www.google.com/maps/place/Riomio/data=!4m7!3m6!1s0x95b7ab3731105781:0xd6cc7b71dab3e575!8m2!3d-32.933136!4d-60.6464189!16s%2Fg%2F11b6xfbyhc!19sChIJgVcQMTert5URdeWz2nF7zNY?authuser=0&hl=es-419&rclk=1,Bar restaurante,Bar restaurante,4.2,16072,"Riomio, ADR, Arturo Illia 1890, S2000 Rosario, Santa Fe"
ChIJ6ekShTqrt5URUlRPaS2_Pvc,Los Jardines,https://www.google.com/maps/place/Los+Jardines/data=!4m7!3m6!1s0x95b7ab3a8512e9e9:0xf73ebf2d694f5452!8m2!3d-32.934148!4d-60.6433216!16s%2Fg%2F1th29l4_!19sChIJ6ekShTqrt5URUlRPaS2_Pvc?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.3,6863,"Los Jardines, S2000 Rosario, Santa Fe"
ChIJoVPpimyrt5URO9zmt9-8Bk8,Espiria,https://www.google.com/maps/place/Espiria/data=!4m7!3m6!1s0x95b7ab6c8ae953a1:0x4f06bcdfb7e6dc3b!8m2!3d-32.9534699!4d-60.6546222!16s%2Fg%2F12h_q9xsw!19sChIJoVPpimyrt5URO9zmt9-8Bk8?authuser=0&hl=es-419&rclk=1,Bar restaurante,"Bar restaurante, Bar, Salon de te",4,3578,"Espiria, Montevideo 2124, S2000 Rosario, Santa Fe"
ChIJVXmKVfyqt5URJE0iABdAaks,Resto Deck Del Nautico,https://www.google.com/maps/place/Resto+Deck+Del+N%C3%A1utico/data=!4m7!3m6!1s0x95b7aafc558a7955:0x4b6a401700224d24!8m2!3d-32.9523078!4d-60.624412!16s%2Fg%2F11c0xqk6ms!19sChIJVXmKVfyqt5URJE0iABdAaks?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.5,1257,"Resto Deck Del Nautico, Cmte. de Navarra 80, Rosario, Santa Fe"
ChIJf5At8iNVtpURUvf0IVTRc_8,"BOW Cafe, Bar & Bistro","https://www.google.com/maps/place/BOW+Caf%C3%A9,+Bar+%26+Bistr%C3%B3/data=!4m7!3m6!1s0x95b65523f22d907f:0xff73d15421f4f752!8m2!3d-32.9268469!4d-60.6651092!16s%2Fg%2F11f61hyrhx!19sChIJf5At8iNVtpURUvf0IVTRc_8?authuser=0&hl=es-419&rclk=1",Restaurante,"Restaurante, Bar, Cafeteria",4.2,883,"BOW Cafe, Bar & Bistro, DJC, Junin 185, S2013 Rosario, Santa Fe"
ChIJmUf-qDCrt5URD0QxpLC0vJM,Viejo Balcon,https://www.google.com/maps/place/Viejo+Balc%C3%B3n/data=!4m7!3m6!1s0x95b7ab30a8fe4799:0x93bcb4b0a431440f!8m2!3d-32.934412!4d-60.6453259!16s%2Fg%2F1hc94q9cr!19sChIJmUf-qDCrt5URD0QxpLC0vJM?authuser=0&hl=es-419&rclk=1,Parrilla,"Parrilla, Restaurante argentino, Restaurante",4.4,5441,"Viejo Balcon, Av. Wheelwright 1815, S2000ACE Rosario, Santa Fe"
ChIJQ5ZShzmrt5URVPzKo4Xr7ZA,PIEL DE TORO,https://www.google.com/maps/place/PIEL+DE+TORO/data=!4m7!3m6!1s0x95b7ab3987529643:0x90edeb85a3cafc54!8m2!3d-32.9370393!4d-60.6458394!16s%2Fg%2F11bxvdm9qp!19sChIJQ5ZShzmrt5URVPzKo4Xr7ZA?authuser=0&hl=es-419&rclk=1,Bar de tapas,"Bar de tapas, Bar restaurante, Cerveceria, Cocteleria",4.3,1576,"PIEL DE TORO, Italia 143, S2000DEC Rosario, Santa Fe"
ChIJkxjOH3Krt5UR1zOaMSf_fjg,Bar y restaurante Coop de Trabajo Nueva Terraza,https://www.google.com/maps/place/Bar+y+restaurante+Coop+de+Trabajo+Nueva+Terraza/data=!4m7!3m6!1s0x95b7ab721fce1893:0x387eff27319a33d7!8m2!3d-32.9405075!4d-60.6362565!16s%2Fg%2F11hgg20wnh!19sChIJkxjOH3Krt5UR1zOaMSf_fjg?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,5,6,"Bar y restaurante Coop de Trabajo Nueva Terraza, Centro, Rosario, Santa Fe"
