place_id,name,link,main_category,categories,rating,reviews,address
ChIJLbdA0CKrt5UROO4t0vsTYl0,Doppio Zero,https://www.google.com/maps/place/Doppio+Zero/data=!4m7!3m6!1s0x95b7ab22d040b72d:0x5d6213fbd22dee38!8m2!3d-32.9414602!4d-60.6396366!16s%2Fg%2F1q627x4_f!19sChIJLbdA0CKrt5UROO4t0vsTYl0?authuser=0&hl=es-419&rclk=1,Restaurante italiano,"Restaurante italiano, Bar, Tienda de pasta, Pizzeria",4,1731,"Doppio Zero, Tucuman 1281, S2000 Rosario, Santa Fe"
ChIJh2MxRiOrt5URtAxB9uHxPxk,CHOLO'S - Almacen de Comidas,https://www.google.com/maps/place/CHOLO%27S+-+Almac%C3%A9n+de+Comidas/data=!4m7!3m6!1s0x95b7ab2346316387:0x193ff1e1f6410cb4!8m2!3d-32.9392328!4d-60.6393377!16s%2Fg%2F1hc8x55b6!19sChIJh2MxRiOrt5URtAxB9uHxPxk?authuser=0&hl=es-419&rclk=1,Pub restaurante,Pub restaurante,4.1,194,"CHOLO'S - Almacen de Comidas, Entre Rios 224, S2000 Rosario, Santa Fe"
ChIJUePg5A2rt5URzxreV4qXfLE,Parrilla La Estancia.,https://www.google.com/maps/place/Parrilla+La+Estancia./data=!4m7!3m6!1s0x95b7ab0de4e0e351:0xb17c978a57de1acf!8m2!3d-32.9561207!4d-60.6465385!16s%2Fg%2F1td61xq1!19sChIJUePg5A2rt5URzxreV4qXfLE?authuser=0&hl=es-419&rclk=1,Restaurante argentino,Restaurante argentino,4.3,7861,"Parrilla La Estancia., Av. Pellegrini 1510, S2000 Rosario, Santa Fe"
ChIJeV73XVaqt5UR4_ooAksiRsM,Wembley,https://www.google.com/maps/place/Wembley/data=!4m7!3m6!1s0x95b7aa565df75e79:0xc346224b0228fae3!8m2!3d-32.9647649!4d-60.6217325!16s%2Fg%2F1vcjnfhc!19sChIJeV73XVaqt5UR4_ooAksiRsM?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.4,3599,"Wembley, Av. Belgrano 2012, S2000 Rosario, Santa Fe"
ChIJt2xbyqqrt5URVSZD24yG7zY,Bendita Costilla,https://www.google.com/maps/place/Bendita+Costilla/data=!4m7!3m6!1s0x95b7abaaca5b6cb7:0x36ef868cdb432655!8m2!3d-32.967275!4d-60.646489!16s%2Fg%2F11gjt_9q41!19sChIJt2xbyqqrt5URVSZD24yG7zY?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4,1064,"Bendita Costilla, Entre Rios 2602, S2001SHB Rosario, Santa Fe"
ChIJgSxfw0mrt5URL4kbUp_EOSw,Locanda Valentino Restaurante,https://www.google.com/maps/place/Locanda+Valentino+Restaurante/data=!4m7!3m6!1s0x95b7ab49c35f2c81:0x2c39c49f521b892f!8m2!3d-32.9329833!4d-60.652875!16s%2Fg%2F11bbrjhr3n!19sChIJgSxfw0mrt5URL4kbUp_EOSw?authuser=0&hl=es-419&rclk=1,Restaurante italiano,"Restaurante italiano, Restaurante argentino",4.5,969,"Locanda Valentino Restaurante, JBC, Guemes 2359, S2000 Rosario, Santa Fe"
ChIJLUaljGmrt5UR8AHjWMe5IXY,Lova Restaurant,https://www.google.com/maps/place/Lova+Restaurant/data=!4m7!3m6!1s0x95b7ab698ca5462d:0x7621b9c758e301f0!8m2!3d-32.949613!4d-60.6579477!16s%2Fg%2F1tm2bw1h!19sChIJLUaljGmrt5UR8AHjWMe5IXY?authuser=0&hl=es-419&rclk=1,Restaurante argentino,"Restaurante argentino, Restaurante",4.3,709,"Lova Restaurant, 3 de Febrero 2417, S2000 Rosario, Santa Fe"
ChIJ6ekShTqrt5URUlRPaS2_Pvc,Los Jardines,https://www.google.com/maps/place/Los+Jardines/data=!4m7!3m6!1s0x95b7ab3a8512e9e9:0xf73ebf2d694f5452!8m2!3d-32.934148!4d-60.6433216!16s%2Fg%2F1th29l4_!19sChIJ6ekShTqrt5URUlRPaS2_Pvc?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.3,6847,"Los Jardines, S2000 Rosario, Santa Fe"
ChIJiSgq0mert5UR6N1vowVwI9c,Restaurante Bruno,https://www.google.com/maps/place/Restaurante+Bruno/data=!4m7!3m6!1s0x95b7ab67d22a2889:0xd7237005a36fdde8!8m2!3d-32.9518987!4d-60.6637614!16s%2Fg%2F1tqp_f7c!19sChIJiSgq0mert5UR6N1vowVwI9c?authuser=0&hl=es-419&rclk=1,Restaurante italiano,"Restaurante italiano, Restaurante",4.5,2905,"Restaurante Bruno, Montevideo 2798, S2000PZL Rosario, Santa Fe"
ChIJHVVWCJ6rt5URbeshVh0cY_U,El Mejor,https://www.google.com/maps/place/El+Mejor/data=!4m7!3m6!1s0x95b7ab9e0856551d:0xf5631c1d5621eb6d!8m2!3d-32.9625193!4d-60.6522157!16s%2Fg%2F11fg4s6415!19sChIJHVVWCJ6rt5URbeshVh0cY_U?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.1,229,"El Mejor, Italia 2301, S2000GCM Rosario, Santa Fe"
