place_id,name,link,main_category,categories,rating,reviews,address
ChIJ026azU2rt5UROQY9qTcu56g,Jimmy,https://www.google.com/maps/place/Jimmy/data=!4m7!3m6!1s0x95b7ab4dcd9a6ed3:0xa8e72e37a93d0639!8m2!3d-32.9328753!4d-60.6603681!16s%2Fg%2F1thkyfqf!19sChIJ026azU2rt5UROQY9qTcu56g?authuser=0&hl=es-419&rclk=1,Restaurante,"Restaurante, Bar, Cafeteria",4.2,2157,"Jimmy, Pichincha 1, S2000 Rosario, Santa Fe"
ChIJLbdA0CKrt5UROO4t0vsTYl0,Doppio Zero,https://www.google.com/maps/place/Doppio+Zero/data=!4m7!3m6!1s0x95b7ab22d040b72d:0x5d6213fbd22dee38!8m2!3d-32.9414602!4d-60.6396366!16s%2Fg%2F1q627x4_f!19sChIJLbdA0CKrt5UROO4t0vsTYl0?authuser=0&hl=es-419&rclk=1,Restaurante italiano,"Restaurante italiano, Bar, Tienda de pasta, Pizzeria",4,1735,"Doppio Zero, Tucuman 1281, S2000 Rosario, Santa Fe"
ChIJUePg5A2rt5URzxreV4qXfLE,Parrilla La Estancia.,https://www.google.com/maps/place/Parrilla+La+Estancia./data=!4m7!3m6!1s0x95b7ab0de4e0e351:0xb17c978a57de1acf!8m2!3d-32.9561207!4d-60.6465385!16s%2Fg%2F1td61xq1!19sChIJUePg5A2rt5URzxreV4qXfLE?authuser=0&hl=es-419&rclk=1,Restaurante argentino,Restaurante argentino,4.3,7881,"Parrilla La Estancia., Av. Pellegrini 1510, S2000 Rosario, Santa Fe"
ChIJT3IZWa-rt5URAnhcgPv4xTE,Gran Lago - Resto Bar,https://www.google.com/maps/place/Gran+Lago+-+Resto+Bar/data=!4m7!3m6!1s0x95b7abaf5919724f:0x31c5f8fb805c7802!8m2!3d-32.955596!4d-60.6585203!16s%2Fg%2F11gv11nccj!19sChIJT3IZWa-rt5URAnhcgPv4xTE?authuser=0&hl=es-419&rclk=1,Bar restaurante,Bar restaurante,4.1,4726,"Gran Lago - Resto Bar, Av. Int. Morcillo 2351, S2000 Rosario, Santa Fe"
ChIJoVPpimyrt5URO9zmt9-8Bk8,Espiria,https://www.google.com/maps/place/Espiria/data=!4m7!3m6!1s0x95b7ab6c8ae953a1:0x4f06bcdfb7e6dc3b!8m2!3d-32.9534699!4d-60.6546222!16s%2Fg%2F12h_q9xsw!19sChIJoVPpimyrt5URO9zmt9-8Bk8?authuser=0&hl=es-419&rclk=1,Bar restaurante,"Bar restaurante, Bar, Salon de te",4,3577,"Espiria, Montevideo 2124, S2000 Rosario, Santa Fe"
ChIJJ4f7Bw-rt5URgiiZ4pVxrbI,Gran Via,https://www.google.com/maps/place/Gran+V%C3%ADa/data=!4m7!3m6!1s0x95b7ab0f07fb8727:0xb2ad7195e2992882!8m2!3d-32.956728!4d-60.6423151!16s%2Fg%2F1td190dm!19sChIJJ4f7Bw-rt5URgiiZ4pVxrbI?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4,2319,"Gran Via, Av. Pellegrini 1202, S2000BTZ Rosario, Santa Fe"
ChIJiXAmRA-rt5URTwh0ZXVUqb8,El Lenador,https://www.google.com/maps/place/El+Le%C3%B1ador/data=!4m7!3m6!1s0x95b7ab0f44267089:0xbfa954756574084f!8m2!3d-32.9582989!4d-60.6412727!16s%2Fg%2F11f06rj9c3!19sChIJiXAmRA-rt5URTwh0ZXVUqb8?authuser=0&hl=es-419&rclk=1,Cerveceria,"Cerveceria, Bar, Hamburgueseria",4.3,1374,"El Lenador, Sarmiento 1798, S2000 FVB, Santa Fe"
ChIJIazYifqrt5UR7QC5JSfytJk,INMORTALES DELIVERY,https://www.google.com/maps/place/INMORTALES+DELIVERY/data=!4m7!3m6!1s0x95b7abfa89d8ac21:0x99b4f22725b900ed!8m2!3d-32.969313!4d-60.659546!16s%2Fg%2F11bzxtb1pv!19sChIJIazYifqrt5UR7QC5JSfytJk?authuser=0&hl=es-419&rclk=1,Pizzeria,Pizzeria,4.4,2782,"INMORTALES DELIVERY, PJC, Blvd. Orono 2991, S2000 Rosario, Santa Fe"
ChIJHVVWCJ6rt5URbeshVh0cY_U,El Mejor,https://www.google.com/maps/place/El+Mejor/data=!4m7!3m6!1s0x95b7ab9e0856551d:0xf5631c1d5621eb6d!8m2!3d-32.9625193!4d-60.6522157!16s%2Fg%2F11fg4s6415!19sChIJHVVWCJ6rt5URbeshVh0cY_U?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.1,229,"El Mejor, Italia 2301, S2000GCM Rosario, Santa Fe"
ChIJaQBOW6qrt5URlSGJIqhf0to,La Fonda,https://www.google.com/maps/place/La+Fonda/data=!4m7!3m6!1s0x95b7abaa5b4e0069:0xdad25fa822892195!8m2!3d-32.9595717!4d-60.6488704!16s%2Fg%2F11bbrkyfn2!19sChIJaQBOW6qrt5URlSGJIqhf0to?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.2,216,"La Fonda, Ituzaingo 1613, S2000 Rosario, Santa Fe"
