place_id,name,link,main_category,categories,rating,reviews,address
ChIJk4cvlxKrt5URmXm-blLZCVE,El Establo,https://www.google.com/maps/place/El+Establo/data=!4m7!3m6!1s0x95b7ab12972f8793:0x5109d9526ebe7999!8m2!3d-32.955838!4d-60.6503097!16s%2Fg%2F1tfhhlcx!19sChIJk4cvlxKrt5URmXm-blLZCVE?authuser=0&hl=es-419&rclk=1,Restaurante,"Restaurante, Restaurante especializado en barbacoa",4.3,6408,"El Establo, Av. Pellegrini 1775, S2000 BUE, Santa Fe"
ChIJ3bIpvtQ0o5URUmyLsonlxDI,Che Taco Comida Mexicana,https://www.google.com/maps/place/Che+Taco+Comida+Mexicana/data=!4m7!3m6!1s0x95a334d4be29b2dd:0x32c4e589b28b6c52!8m2!3d-34.6180644!4d-58.3703473!16s%2Fg%2F11b7jkmmfx!19sChIJ3bIpvtQ0o5URUmyLsonlxDI?authuser=0&hl=es-419&rclk=1,Restaurante mexicano,Restaurante mexicano,4.3,2435,"Che Taco Comida Mexicana, Balcarce 873, C1064AAQ CABA"
ChIJL-TQQJurt5URkxLZ6F3-Go8,De Taquito - Resto Bar y Parrilla,https://www.google.com/maps/place/De+Taquito+-+Resto+Bar+y+Parrilla/data=!4m7!3m6!1s0x95b7ab9b40d0e42f:0x8f1afe5de8d91293!8m2!3d-32.976071!4d-60.662225!16s%2Fg%2F11b6_gnlfj!19sChIJL-TQQJurt5URkxLZ6F3-Go8?authuser=0&hl=es-419&rclk=1,Restaurante,"Restaurante, Parrilla",4.3,1053,"De Taquito - Resto Bar y Parrilla, Blvd. Segui 2250, S2003CIN Rosario, Santa Fe"
ChIJ92s_h-Ost5URXq5vfjFfe6U,Subway,https://www.google.com/maps/place/Subway/data=!4m7!3m6!1s0x95b7ace3873f6bf7:0xa57b5f317e6fae5e!8m2!3d-32.9702393!4d-60.7157218!16s%2Fg%2F11f15x4r4w!19sChIJ92s_h-Ost5URXq5vfjFfe6U?authuser=0&hl=es-419&rclk=1,Restaurante de comida rapida,"Restaurante de comida rapida, Bar",4.2,830,"Subway, Rosario, Santa Fe"
ChIJD8fpfXart5URHKDIvXcKQHE,Chilitacos,https://www.google.com/maps/place/Chilitacos/data=!4m7!3m6!1s0x95b7ab767de9c70f:0x71400a77bdc8a01c!8m2!3d-32.9621182!4d-60.640197!16s%2Fg%2F11q1p_v5nv!19sChIJD8fpfXart5URHKDIvXcKQHE?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.2,72,"Chilitacos, Cerrito 974, S2000EHT Rosario, Santa Fe"
ChIJBXM-zTqrt5URwMPuBnh1RdM,Taqueria Cielito Lindo,https://www.google.com/maps/place/Taqueria+Cielito+Lindo/data=!4m7!3m6!1s0x95b7ab3acd3e7305:0xd345757806eec3c0!8m2!3d-32.9331314!4d-60.6518259!16s%2Fg%2F11tgbd_75d!19sChIJBXM-zTqrt5URwMPuBnh1RdM?authuser=0&hl=es-419&rclk=1,Restaurante mexicano,Restaurante mexicano,4.4,542,"Taqueria Cielito Lindo, Guemes 2291, S2000JBA Rosario, Santa Fe"
ChIJtzo1nxqrt5UR_vsaCbfJiPs,Viva Maria,https://www.google.com/maps/place/Viva+Mar%C3%ADa/data=!4m7!3m6!1s0x95b7ab1a9f353ab7:0xfb88c9b7091afbfe!8m2!3d-32.9522598!4d-60.6397563!16s%2Fg%2F11b6xbxts7!19sChIJtzo1nxqrt5UR_vsaCbfJiPs?authuser=0&hl=es-419&rclk=1,Restaurante,"Restaurante, Bar restaurante",4.3,281,"Viva Maria, CMV, Sarmiento 1256, S2000 Rosario, Santa Fe"
ChIJIa6ABONJtpURiPjklS7VY4w,PANCHERIA PANCHO LOPEZ,https://www.google.com/maps/place/PANCHER%C3%8DA+PANCHO+LOPEZ/data=!4m7!3m6!1s0x95b649e30480ae21:0x8c63d52e95e4f888!8m2!3d-32.8999973!4d-60.908269!16s%2Fg%2F11vbktqzfj!19sChIJIa6ABONJtpURiPjklS7VY4w?authuser=0&hl=es-419&rclk=1,Restaurante mexicano,Restaurante mexicano,5,7,"PANCHERIA PANCHO LOPEZ, San Martin 780 local 2, S2134 Roldan, Santa Fe"
ChIJnfOSEjGrt5URaRBw8kMwzYM,La Parada,https://www.google.com/maps/place/La+Parada/data=!4m7!3m6!1s0x95b7ab311292f39d:0x83cd3043f2701069!8m2!3d-32.9475868!4d-60.6474216!16s%2Fg%2F11jj1jydf1!19sChIJnfOSEjGrt5URaRBw8kMwzYM?authuser=0&hl=es-419&rclk=1,Restaurante mexicano,"Restaurante mexicano, Mercado",5,5,"La Parada, San Luis 1711, S2000 Rosario, Santa Fe"
ChIJM7Hl4tmrt5UR8Ti8qHM3J-k,El 14,https://www.google.com/maps/place/El+14/data=!4m7!3m6!1s0x95b7abd9e2e5b133:0xe9273773a8bc38f1!8m2!3d-32.9668325!4d-60.6661517!16s%2Fg%2F11fk8dmctn!19sChIJM7Hl4tmrt5UR8Ti8qHM3J-k?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,5,1,"El 14, Brandazza 2854, S2000 Rosario, Santa Fe"
