place_id,name,link,main_category,categories,rating,reviews,address
ChIJAc0ax0O1vJURnQMh4Trolb8,Sacro,https://www.google.com/maps/place/Sacro/data=!4m7!3m6!1s0x95bcb543c71acd01:0xbf95e83ae121039d!8m2!3d-34.5792717!4d-58.4392658!16s%2Fg%2F11gxgpdh32!19sChIJAc0ax0O1vJURnQMh4Trolb8?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.4,2462,"Sacro, Costa Rica 6038, C1414 CABA"
ChIJVyg0rErLvJUR0OqzfpH_H5k,Cruza Downtown,https://www.google.com/maps/place/Cruza+Downtown/data=!4m7!3m6!1s0x95bccb4aac342857:0x991fff917eb3ead0!8m2!3d-34.5892469!4d-58.3938866!16s%2Fg%2F11sfdm02mz!19sChIJVyg0rErLvJUR0OqzfpH_H5k?authuser=0&hl=es-419&rclk=1,Bar,Bar,4.2,1581,"Cruza Downtown, Vicente Lopez 2050 3piso Recoleta Mall, C1126 Buenos Aires"
ChIJvZaFMsjKvJURieIAHSNHtkM,Santos Manjares,https://www.google.com/maps/place/Santos+Manjares/data=!4m7!3m6!1s0x95bccac8328596bd:0x43b647231d00e289!8m2!3d-34.5979072!4d-58.3803246!16s%2Fg%2F11b73p9fr6!19sChIJvZaFMsjKvJURieIAHSNHtkM?authuser=0&hl=es-419&rclk=1,Restaurante especializado en filetes,Restaurante especializado en filetes,4.7,4656,"Santos Manjares, Paraguay 938, C1057 AAN, Buenos Aires"
ChIJL0yW-8PKvJURzJ8xz8TjBIM,Las Canas,https://www.google.com/maps/place/Las+Ca%C3%B1as/data=!4m7!3m6!1s0x95bccac3fb964c2f:0x8304e3c4cf319fcc!8m2!3d-34.6049001!4d-58.3894698!16s%2Fg%2F11b6gqrg3z!19sChIJL0yW-8PKvJURzJ8xz8TjBIM?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.3,3635,"Las Canas, Montevideo 350, C1019 CABA"
ChIJC7ngJoa1vJURmQuYxE_zevM,Cabernet,https://www.google.com/maps/place/Cabernet/data=!4m7!3m6!1s0x95bcb58626e0b90b:0xf37af34fc4980b99!8m2!3d-34.5877108!4d-58.4283599!16s%2Fg%2F1tg_mtjp!19sChIJC7ngJoa1vJURmQuYxE_zevM?authuser=0&hl=es-419&rclk=1,Restaurante argentino,"Restaurante argentino, Restaurante",4.2,2647,"Cabernet, Jorge Luis Borges 1757, C1414 DGC, Buenos Aires"
ChIJsS1rVZy1vJURUWTDhHingbc,FAYER Buenos Aires,https://www.google.com/maps/place/FAYER+Buenos+Aires/data=!4m7!3m6!1s0x95bcb59c556b2db1:0xb781a77884c36451!8m2!3d-34.5761245!4d-58.4203189!16s%2Fg%2F11dynxdksp!19sChIJsS1rVZy1vJURUWTDhHingbc?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.2,1953,"FAYER Buenos Aires, Av. Cervino 4417, Buenos Aires"
ChIJsWAL_cPKvJURD5FlQ-em-iY,Lalo de Buenos Aires,https://www.google.com/maps/place/Lalo+de+Buenos+Aires/data=!4m7!3m6!1s0x95bccac3fd0b60b1:0x26faa6e74365910f!8m2!3d-34.6053774!4d-58.3895048!16s%2Fg%2F1tk4sbn7!19sChIJsWAL_cPKvJURD5FlQ-em-iY?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.4,1450,"Lalo de Buenos Aires, Montevideo 306, C1042 CABA"
ChIJLd5dhrDKvJURCO6g7y5zy_w,Nuestro Secreto,https://www.google.com/maps/place/Nuestro+Secreto/data=!4m7!3m6!1s0x95bccab0865dde2d:0xfccb732eefa0ee08!8m2!3d-34.5906626!4d-58.3826833!16s%2Fg%2F11bvvx6jl9!19sChIJLd5dhrDKvJURCO6g7y5zy_w?authuser=0&hl=es-419&rclk=1,Restaurante argentino,"Restaurante argentino, Restaurante familiar, Restaurante, Restaurante de cocina sudamericana",4.6,814,"Nuestro Secreto, Posadas 1086, C1011 CABA"
ChIJxUb7uJG1vJURbldXG4zCjgg,The Argentine Experience,https://www.google.com/maps/place/The+Argentine+Experience/data=!4m7!3m6!1s0x95bcb591b8fb46c5:0x88ec28c1b57576e!8m2!3d-34.5806667!4d-58.4325468!16s%2Fg%2F11b5qt1634!19sChIJxUb7uJG1vJURbldXG4zCjgg?authuser=0&hl=es-419&rclk=1,Restaurante argentino,"Restaurante argentino, Restaurante de platos de carne",4.6,541,"The Argentine Experience, Fitz Roy 2110, Buenos Aires"
ChIJRcLU1c_KvJURccO4JN8PxtE,Buenos Aires Restaurant,https://www.google.com/maps/place/Buenos+Aires+Restaurant/data=!4m7!3m6!1s0x95bccacfd5d4c245:0xd1c60fdf24b8c371!8m2!3d-34.6069929!4d-58.380589!16s%2Fg%2F11ggrnn__3!19sChIJRcLU1c_KvJURccO4JN8PxtE?authuser=0&hl=es-419&rclk=1,Restaurante,Restaurante,4.1,491,"Buenos Aires Restaurant, ABC, Carlos Pellegrini 111, C1009 C1009ABC, Buenos Aires"
